timestamps,frame_nr,rvec[0],rvec[1],rvec[2],tvec[0],tvec[1],tvec[2]
1713511895.5225058,1,nan,nan,nan,nan,nan,nan
1713511895.540691,2,nan,nan,nan,nan,nan,nan
1713511895.5608363,3,nan,nan,nan,nan,nan,nan
1713511895.5826843,4,nan,nan,nan,nan,nan,nan
1713511895.604866,5,2.4046817688792492,0.020632218419138298,0.031344368446589166,-102.84827929574402,-50.73386158156429,631.5976853464383
1713511895.627731,6,2.4038892810668435,0.01928770207101287,0.030791209065616103,-102.81361871167238,-50.70643206759656,631.4717923399733
1713511895.6493733,7,nan,nan,nan,nan,nan,nan
1713511895.6728299,8,nan,nan,nan,nan,nan,nan
1713511895.7087538,9,2.4024892060128167,0.019368331207513367,0.029025318827933157,-102.89689815372066,-50.63611021702994,631.6588377068239
1713511895.7231321,10,nan,nan,nan,nan,nan,nan
1713511895.7396948,11,nan,nan,nan,nan,nan,nan
1713511895.761567,12,nan,nan,nan,nan,nan,nan
1713511895.7830894,13,nan,nan,nan,nan,nan,nan
1713511895.8062336,14,nan,nan,nan,nan,nan,nan
1713511895.8283868,15,nan,nan,nan,nan,nan,nan
1713511895.8494868,16,nan,nan,nan,nan,nan,nan
1713511895.8724718,17,nan,nan,nan,nan,nan,nan
1713511895.8955886,18,nan,nan,nan,nan,nan,nan
1713511895.919591,19,nan,nan,nan,nan,nan,nan
1713511895.9417727,20,nan,nan,nan,nan,nan,nan
1713511895.9695172,21,2.4005386129523187,0.01824652990921339,0.03277874185962595,-102.71786510511261,-50.60730146523271,631.1308993906633
1713511896.0025692,22,nan,nan,nan,nan,nan,nan
1713511896.026252,23,nan,nan,nan,nan,nan,nan
1713511896.05294,24,nan,nan,nan,nan,nan,nan
1713511896.0699244,25,nan,nan,nan,nan,nan,nan
1713511896.1016638,26,nan,nan,nan,nan,nan,nan
1713511896.1301146,27,nan,nan,nan,nan,nan,nan
1713511896.1537094,28,nan,nan,nan,nan,nan,nan
1713511896.162478,29,nan,nan,nan,nan,nan,nan
1713511896.1764467,30,nan,nan,nan,nan,nan,nan
1713511896.1870885,31,nan,nan,nan,nan,nan,nan
1713511896.20799,32,nan,nan,nan,nan,nan,nan
1713511896.2303464,33,nan,nan,nan,nan,nan,nan
1713511896.2519739,34,nan,nan,nan,nan,nan,nan
1713511896.274338,35,nan,nan,nan,nan,nan,nan
1713511896.2978535,36,nan,nan,nan,nan,nan,nan
1713511896.319003,37,nan,nan,nan,nan,nan,nan
1713511896.341966,38,nan,nan,nan,nan,nan,nan
1713511896.364867,39,nan,nan,nan,nan,nan,nan
1713511896.3891509,40,nan,nan,nan,nan,nan,nan
1713511896.4113033,41,nan,nan,nan,nan,nan,nan
1713511896.433815,42,nan,nan,nan,nan,nan,nan
1713511896.45585,43,nan,nan,nan,nan,nan,nan
1713511896.4783888,44,nan,nan,nan,nan,nan,nan
1713511896.4997773,45,nan,nan,nan,nan,nan,nan
1713511896.5223684,46,nan,nan,nan,nan,nan,nan
1713511896.5463388,47,nan,nan,nan,nan,nan,nan
1713511896.566609,48,nan,nan,nan,nan,nan,nan
1713511896.5897543,49,nan,nan,nan,nan,nan,nan
1713511896.6109746,50,nan,nan,nan,nan,nan,nan
1713511896.632775,51,nan,nan,nan,nan,nan,nan
1713511896.6547835,52,nan,nan,nan,nan,nan,nan
1713511896.67691,53,nan,nan,nan,nan,nan,nan
1713511896.6989706,54,nan,nan,nan,nan,nan,nan
1713511896.7210107,55,nan,nan,nan,nan,nan,nan
1713511896.7438707,56,nan,nan,nan,nan,nan,nan
1713511896.7658134,57,nan,nan,nan,nan,nan,nan
1713511896.7876935,58,nan,nan,nan,nan,nan,nan
1713511896.8096259,59,nan,nan,nan,nan,nan,nan
1713511896.8313704,60,nan,nan,nan,nan,nan,nan
1713511896.8529644,61,nan,nan,nan,nan,nan,nan
1713511896.875036,62,nan,nan,nan,nan,nan,nan
1713511896.8982184,63,nan,nan,nan,nan,nan,nan
1713511896.921075,64,nan,nan,nan,nan,nan,nan
1713511896.9440067,65,nan,nan,nan,nan,nan,nan
1713511896.9659169,66,nan,nan,nan,nan,nan,nan
1713511896.989055,67,nan,nan,nan,nan,nan,nan
1713511897.0105104,68,nan,nan,nan,nan,nan,nan
1713511897.032635,69,nan,nan,nan,nan,nan,nan
1713511897.055917,70,nan,nan,nan,nan,nan,nan
1713511897.0765998,71,nan,nan,nan,nan,nan,nan
1713511897.100642,72,nan,nan,nan,nan,nan,nan
1713511897.12372,73,nan,nan,nan,nan,nan,nan
1713511897.145237,74,nan,nan,nan,nan,nan,nan
1713511897.167979,75,nan,nan,nan,nan,nan,nan
1713511897.1896298,76,nan,nan,nan,nan,nan,nan
1713511897.219661,77,nan,nan,nan,nan,nan,nan
1713511897.2482562,78,nan,nan,nan,nan,nan,nan
1713511897.261618,79,nan,nan,nan,nan,nan,nan
1713511897.2798367,80,nan,nan,nan,nan,nan,nan
1713511897.3032408,81,nan,nan,nan,nan,nan,nan
1713511897.324911,82,nan,nan,nan,nan,nan,nan
1713511897.3485734,83,nan,nan,nan,nan,nan,nan
1713511897.3696384,84,nan,nan,nan,nan,nan,nan
1713511897.3927238,85,nan,nan,nan,nan,nan,nan
1713511897.4164147,86,nan,nan,nan,nan,nan,nan
