timestamps,frame_nr,rvec[0],rvec[1],rvec[2],tvec[0],tvec[1],tvec[2]
1719495502.42325,2690,nan,nan,nan,nan,nan,nan
1719495502.4467604,2691,nan,nan,nan,nan,nan,nan
1719495502.4687512,2692,nan,nan,nan,nan,nan,nan
1719495502.4946976,2693,nan,nan,nan,nan,nan,nan
1719495502.5146177,2694,nan,nan,nan,nan,nan,nan
1719495502.5450504,2695,nan,nan,nan,nan,nan,nan
1719495502.5858753,2696,nan,nan,nan,nan,nan,nan
1719495502.6053584,2697,nan,nan,nan,nan,nan,nan
1719495502.6174514,2698,nan,nan,nan,nan,nan,nan
1719495502.6273596,2699,nan,nan,nan,nan,nan,nan
1719495502.6492276,2700,nan,nan,nan,nan,nan,nan
1719495502.6709373,2701,nan,nan,nan,nan,nan,nan
1719495502.6940396,2702,nan,nan,nan,nan,nan,nan
1719495502.7170203,2703,nan,nan,nan,nan,nan,nan
1719495502.7376397,2704,nan,nan,nan,nan,nan,nan
1719495502.75976,2705,nan,nan,nan,nan,nan,nan
1719495502.7818267,2706,nan,nan,nan,nan,nan,nan
1719495502.803896,2707,nan,nan,nan,nan,nan,nan
1719495502.8262846,2708,nan,nan,nan,nan,nan,nan
1719495502.847986,2709,nan,nan,nan,nan,nan,nan
1719495502.8702846,2710,nan,nan,nan,nan,nan,nan
1719495502.8930995,2711,nan,nan,nan,nan,nan,nan
1719495502.9150846,2712,nan,nan,nan,nan,nan,nan
1719495502.937683,2713,nan,nan,nan,nan,nan,nan
1719495502.9595976,2714,nan,nan,nan,nan,nan,nan
1719495502.9814174,2715,nan,nan,nan,nan,nan,nan
1719495503.004035,2716,nan,nan,nan,nan,nan,nan
1719495503.0274692,2717,nan,nan,nan,nan,nan,nan
1719495503.0498447,2718,nan,nan,nan,nan,nan,nan
1719495503.0750916,2719,nan,nan,nan,nan,nan,nan
1719495503.0964355,2720,nan,nan,nan,nan,nan,nan
1719495503.119097,2721,nan,nan,nan,nan,nan,nan
1719495503.1395876,2722,nan,nan,nan,nan,nan,nan
1719495503.1616457,2723,nan,nan,nan,nan,nan,nan
1719495503.185586,2724,nan,nan,nan,nan,nan,nan
1719495503.223591,2725,nan,nan,nan,nan,nan,nan
1719495503.25965,2726,nan,nan,nan,nan,nan,nan
1719495503.2779837,2727,nan,nan,nan,nan,nan,nan
1719495503.2923808,2728,nan,nan,nan,nan,nan,nan
1719495503.3027084,2729,nan,nan,nan,nan,nan,nan
1719495503.324083,2730,nan,nan,nan,nan,nan,nan
1719495503.3450816,2731,nan,nan,nan,nan,nan,nan
1719495503.368177,2732,nan,nan,nan,nan,nan,nan
1719495503.3899536,2733,nan,nan,nan,nan,nan,nan
1719495503.4119024,2734,nan,nan,nan,nan,nan,nan
1719495503.4337223,2735,nan,nan,nan,nan,nan,nan
1719495503.4573832,2736,nan,nan,nan,nan,nan,nan
1719495503.4786842,2737,nan,nan,nan,nan,nan,nan
1719495503.5011485,2738,nan,nan,nan,nan,nan,nan
1719495503.5226588,2739,nan,nan,nan,nan,nan,nan
1719495503.5440376,2740,nan,nan,nan,nan,nan,nan
1719495503.5690777,2741,nan,nan,nan,nan,nan,nan
1719495503.5993774,2742,nan,nan,nan,nan,nan,nan
1719495503.6151187,2743,nan,nan,nan,nan,nan,nan
1719495503.6381145,2744,nan,nan,nan,nan,nan,nan
1719495503.6609392,2745,nan,nan,nan,nan,nan,nan
1719495503.6846879,2746,nan,nan,nan,nan,nan,nan
1719495503.707334,2747,nan,nan,nan,nan,nan,nan
1719495503.727218,2748,nan,nan,nan,nan,nan,nan
1719495503.7499955,2749,nan,nan,nan,nan,nan,nan
1719495503.7734003,2750,nan,nan,nan,nan,nan,nan
1719495503.7949443,2751,nan,nan,nan,nan,nan,nan
1719495503.8162751,2752,nan,nan,nan,nan,nan,nan
1719495503.8376,2753,nan,nan,nan,nan,nan,nan
1719495503.859968,2754,nan,nan,nan,nan,nan,nan
1719495503.8819065,2755,nan,nan,nan,nan,nan,nan
1719495503.905049,2756,nan,nan,nan,nan,nan,nan
1719495503.9264772,2757,nan,nan,nan,nan,nan,nan
1719495503.9499137,2758,nan,nan,nan,nan,nan,nan
1719495503.9717927,2759,nan,nan,nan,nan,nan,nan
1719495503.994581,2760,nan,nan,nan,nan,nan,nan
1719495504.0185735,2761,nan,nan,nan,nan,nan,nan
1719495504.0392568,2762,nan,nan,nan,nan,nan,nan
1719495504.0744486,2763,nan,nan,nan,nan,nan,nan
1719495504.0987964,2764,nan,nan,nan,nan,nan,nan
1719495504.1112633,2765,nan,nan,nan,nan,nan,nan
1719495504.12906,2766,nan,nan,nan,nan,nan,nan
1719495504.1511757,2767,nan,nan,nan,nan,nan,nan
1719495504.1726134,2768,nan,nan,nan,nan,nan,nan
1719495504.197256,2769,nan,nan,nan,nan,nan,nan
1719495504.2179859,2770,nan,nan,nan,nan,nan,nan
1719495504.2404773,2771,nan,nan,nan,nan,nan,nan
1719495504.2627652,2772,nan,nan,nan,nan,nan,nan
1719495504.2913854,2773,nan,nan,nan,nan,nan,nan
1719495504.3084638,2774,nan,nan,nan,nan,nan,nan
1719495504.33121,2775,nan,nan,nan,nan,nan,nan
1719495504.3539696,2776,nan,nan,nan,nan,nan,nan
1719495504.376502,2777,nan,nan,nan,nan,nan,nan
1719495504.3982842,2778,nan,nan,nan,nan,nan,nan
1719495504.4220953,2779,nan,nan,nan,nan,nan,nan
1719495504.4438019,2780,nan,nan,nan,nan,nan,nan
1719495504.4665525,2781,nan,nan,nan,nan,nan,nan
1719495504.4894063,2782,nan,nan,nan,nan,nan,nan
1719495504.510351,2783,nan,nan,nan,nan,nan,nan
1719495504.5476289,2784,nan,nan,nan,nan,nan,nan
1719495504.5998647,2785,nan,nan,nan,nan,nan,nan
1719495504.623911,2786,nan,nan,nan,nan,nan,nan
1719495504.6538272,2787,nan,nan,nan,nan,nan,nan
1719495504.6957269,2788,nan,nan,nan,nan,nan,nan
1719495504.7454572,2789,nan,nan,nan,nan,nan,nan
1719495504.7661772,2790,nan,nan,nan,nan,nan,nan
1719495504.7765546,2791,nan,nan,nan,nan,nan,nan
1719495504.7860863,2792,nan,nan,nan,nan,nan,nan
1719495504.8067183,2793,nan,nan,nan,nan,nan,nan
1719495504.828422,2794,nan,nan,nan,nan,nan,nan
1719495504.850165,2795,nan,nan,nan,nan,nan,nan
1719495504.8740017,2796,nan,nan,nan,nan,nan,nan
1719495504.8949578,2797,nan,nan,nan,nan,nan,nan
1719495504.9162807,2798,nan,nan,nan,nan,nan,nan
1719495504.9380283,2799,nan,nan,nan,nan,nan,nan
1719495504.9596612,2800,nan,nan,nan,nan,nan,nan
1719495504.981593,2801,nan,nan,nan,nan,nan,nan
1719495505.0026135,2802,nan,nan,nan,nan,nan,nan
1719495505.024552,2803,nan,nan,nan,nan,nan,nan
1719495505.0476246,2804,nan,nan,nan,nan,nan,nan
1719495505.0687401,2805,nan,nan,nan,nan,nan,nan
1719495505.0909224,2806,nan,nan,nan,nan,nan,nan
1719495505.112352,2807,nan,nan,nan,nan,nan,nan
1719495505.1337397,2808,nan,nan,nan,nan,nan,nan
1719495505.1553395,2809,nan,nan,nan,nan,nan,nan
1719495505.17724,2810,nan,nan,nan,nan,nan,nan
