timestamps,frame_nr,rvec[0],rvec[1],rvec[2],tvec[0],tvec[1],tvec[2]
1713508211.1208065,10769,nan,nan,nan,nan,nan,nan
1713508211.144841,10770,nan,nan,nan,nan,nan,nan
1713508211.1664534,10771,nan,nan,nan,nan,nan,nan
1713508211.1893778,10772,nan,nan,nan,nan,nan,nan
1713508211.2113717,10773,nan,nan,nan,nan,nan,nan
1713508211.2356994,10774,nan,nan,nan,nan,nan,nan
1713508211.2563682,10775,nan,nan,nan,nan,nan,nan
1713508211.279297,10776,nan,nan,nan,nan,nan,nan
1713508211.3110182,10777,nan,nan,nan,nan,nan,nan
1713508211.3396978,10778,nan,nan,nan,nan,nan,nan
1713508211.3579588,10779,nan,nan,nan,nan,nan,nan
1713508211.3821995,10780,nan,nan,nan,nan,nan,nan
1713508211.3967943,10781,nan,nan,nan,nan,nan,nan
1713508211.4149203,10782,nan,nan,nan,nan,nan,nan
1713508211.436205,10783,nan,nan,nan,nan,nan,nan
1713508211.460372,10784,nan,nan,nan,nan,nan,nan
1713508211.4822261,10785,nan,nan,nan,nan,nan,nan
1713508211.5040185,10786,nan,nan,nan,nan,nan,nan
1713508211.5274296,10787,nan,nan,nan,nan,nan,nan
1713508211.5504074,10788,nan,nan,nan,nan,nan,nan
1713508211.5931344,10789,nan,nan,nan,nan,nan,nan
1713508211.6309936,10790,nan,nan,nan,nan,nan,nan
1713508211.6650057,10791,nan,nan,nan,nan,nan,nan
1713508211.6835842,10792,nan,nan,nan,nan,nan,nan
1713508211.6926239,10793,nan,nan,nan,nan,nan,nan
1713508211.708098,10794,nan,nan,nan,nan,nan,nan
1713508211.7298038,10795,nan,nan,nan,nan,nan,nan
1713508211.7527752,10796,nan,nan,nan,nan,nan,nan
1713508211.775369,10797,nan,nan,nan,nan,nan,nan
1713508211.800496,10798,nan,nan,nan,nan,nan,nan
1713508211.8295999,10799,nan,nan,nan,nan,nan,nan
1713508211.8693528,10800,nan,nan,nan,nan,nan,nan
1713508211.9102437,10801,nan,nan,nan,nan,nan,nan
1713508211.9287605,10802,nan,nan,nan,nan,nan,nan
1713508211.937797,10803,nan,nan,nan,nan,nan,nan
1713508211.946378,10804,nan,nan,nan,nan,nan,nan
1713508211.9611406,10805,nan,nan,nan,nan,nan,nan
1713508211.984438,10806,nan,nan,nan,nan,nan,nan
1713508212.012953,10807,nan,nan,nan,nan,nan,nan
1713508212.0395017,10808,nan,nan,nan,nan,nan,nan
1713508212.0687187,10809,nan,nan,nan,nan,nan,nan
1713508212.1141093,10810,nan,nan,nan,nan,nan,nan
1713508212.144649,10811,nan,nan,nan,nan,nan,nan
1713508212.1690373,10812,nan,nan,nan,nan,nan,nan
1713508212.1923835,10813,nan,nan,nan,nan,nan,nan
1713508212.2052279,10814,nan,nan,nan,nan,nan,nan
1713508212.2152948,10815,nan,nan,nan,nan,nan,nan
1713508212.2370563,10816,nan,nan,nan,nan,nan,nan
1713508212.259167,10817,nan,nan,nan,nan,nan,nan
1713508212.2818453,10818,nan,nan,nan,nan,nan,nan
1713508212.304836,10819,nan,nan,nan,nan,nan,nan
1713508212.325991,10820,nan,nan,nan,nan,nan,nan
1713508212.3491528,10821,nan,nan,nan,nan,nan,nan
1713508212.3709338,10822,nan,nan,nan,nan,nan,nan
1713508212.3948352,10823,nan,nan,nan,nan,nan,nan
1713508212.4177825,10824,nan,nan,nan,nan,nan,nan
1713508212.4422295,10825,nan,nan,nan,nan,nan,nan
1713508212.4648108,10826,nan,nan,nan,nan,nan,nan
1713508212.4859345,10827,nan,nan,nan,nan,nan,nan
1713508212.509334,10828,nan,nan,nan,nan,nan,nan
1713508212.5329766,10829,nan,nan,nan,nan,nan,nan
1713508212.5558856,10830,nan,nan,nan,nan,nan,nan
1713508212.5777018,10831,nan,nan,nan,nan,nan,nan
1713508212.6004858,10832,nan,nan,nan,nan,nan,nan
1713508212.6223967,10833,nan,nan,nan,nan,nan,nan
1713508212.644199,10834,nan,nan,nan,nan,nan,nan
1713508212.667589,10835,nan,nan,nan,nan,nan,nan
1713508212.689974,10836,nan,nan,nan,nan,nan,nan
1713508212.7132215,10837,nan,nan,nan,nan,nan,nan
1713508212.734577,10838,nan,nan,nan,nan,nan,nan
1713508212.7563019,10839,nan,nan,nan,nan,nan,nan
1713508212.779074,10840,nan,nan,nan,nan,nan,nan
1713508212.8009207,10841,nan,nan,nan,nan,nan,nan
1713508212.8228755,10842,nan,nan,nan,nan,nan,nan
1713508212.8446522,10843,nan,nan,nan,nan,nan,nan
1713508212.8664129,10844,nan,nan,nan,nan,nan,nan
1713508212.8882132,10845,nan,nan,nan,nan,nan,nan
1713508212.910974,10846,nan,nan,nan,nan,nan,nan
1713508212.933732,10847,nan,nan,nan,nan,nan,nan
1713508212.9555185,10848,nan,nan,nan,nan,nan,nan
