stimulus,start_time,end_time,positionX,positionY
8,1714054238.786934,1714054240.8874354,14.0,0.0
16,1714054241.938385,1714054243.9359133,0.0,-10.0
30,1714054245.3060598,1714054247.4081798,-14.0,10.0
27,1714054248.5910811,1714054250.4916902,-14.0,-5.0
2,1714054251.8811572,1714054253.938949,21.0,-5.0
17,1714054255.4325438,1714054257.4310653,0.0,-5.0
10,1714054258.9315505,1714054260.9340613,14.0,10.0
12,1714054262.0618396,1714054263.962212,7.0,-5.0
9,1714054265.1310833,1714054267.0320415,14.0,5.0
7,1714054268.4311268,1714054270.4354386,14.0,-5.0
5,1714054271.8900263,1714054273.9364266,21.0,10.0
31,1714054275.10624,1714054277.0075493,-21.0,-10.0
6,1714054278.432967,1714054280.4309423,14.0,-10.0
19,1714054281.6566498,1714054283.5561507,0.0,5.0
21,1714054284.834331,1714054286.9312017,-7.0,-10.0
22,1714054288.3332157,1714054290.431197,-7.0,-5.0
29,1714054291.7583508,1714054293.859421,-14.0,5.0
4,1714054295.1095862,1714054297.0155964,21.0,5.0
28,1714054298.1121142,1714054300.013127,-14.0,0.0
15,1714054301.0846183,1714054302.9844291,7.0,10.0
35,1714054304.3353336,1714054306.4398017,-21.0,10.0
13,1714054307.9314253,1714054309.9320178,7.0,0.0
24,1714054311.2564447,1714054313.3566096,-7.0,5.0
14,1714054314.3812683,1714054316.431301,7.0,5.0
20,1714054317.6423182,1714054319.543789,0.0,10.0
18,1714054320.9152856,1714054322.9325998,0.0,0.0
26,1714054324.431056,1714054326.4477293,-14.0,-10.0
11,1714054327.6906028,1714054329.7905655,7.0,-10.0
34,1714054331.2311623,1714054333.3313272,-21.0,5.0
33,1714054334.441729,1714054336.4364939,-21.0,0.0
25,1714054337.5820324,1714054339.4824367,-7.0,10.0
1,1714054340.633901,1714054342.5376105,21.0,-10.0
23,1714054343.7415001,1714054345.8409,-7.0,0.0
3,1714054346.8827918,1714054348.9308217,21.0,0.0
32,1714054350.4337952,1714054352.433355,-21.0,-5.0
