stimulus,start_time,end_time,positionX,positionY
8,1714054067.0314171,1714054068.9311664,14.0,0.0
16,1714054070.4315207,1714054072.4368362,0.0,-10.0
30,1714054073.4314613,1714054075.4316905,-14.0,10.0
27,1714054076.8130114,1714054078.9151247,-14.0,-5.0
2,1714054080.1567826,1714054082.057,21.0,-5.0
17,1714054083.206576,1714054085.3099422,0.0,-5.0
10,1714054086.5584688,1714054088.4615257,14.0,10.0
12,1714054089.9118702,1714054091.9327629,7.0,-5.0
9,1714054093.3313985,1714054095.4379036,14.0,5.0
7,1714054096.8330293,1714054098.9356863,14.0,-5.0
5,1714054100.1894305,1714054102.2943282,21.0,10.0
31,1714054103.5808122,1714054105.4830127,-21.0,-10.0
6,1714054106.906901,1714054108.9362767,14.0,-10.0
19,1714054109.9603167,1714054111.9377165,0.0,5.0
21,1714054113.3063917,1714054115.410957,-7.0,-10.0
22,1714054116.8593895,1714054118.931346,-7.0,-5.0
29,1714054120.0565975,1714054121.9567766,-14.0,5.0
4,1714054123.0061085,1714054124.9314215,21.0,5.0
28,1714054126.0820618,1714054127.982375,-14.0,0.0
15,1714054129.1350539,1714054131.0394151,7.0,10.0
35,1714054132.4327652,1714054134.437383,-21.0,10.0
13,1714054135.783103,1714054137.8858027,7.0,0.0
24,1714054139.2562625,1714054141.359234,-7.0,5.0
14,1714054142.7308688,1714054144.8333645,7.0,5.0
20,1714054146.1310835,1714054148.0307584,0.0,10.0
18,1714054149.2367814,1714054151.3468297,0.0,0.0
26,1714054152.4320872,1714054154.4308443,-14.0,-10.0
11,1714054155.8835888,1714054157.9317002,7.0,-10.0
34,1714054159.1395094,1714054161.0518508,-21.0,5.0
33,1714054162.4314117,1714054164.435081,-21.0,0.0
25,1714054165.66643,1714054167.5757647,-7.0,10.0
1,1714054168.7062397,1714054170.8057737,21.0,-10.0
23,1714054172.0315802,1714054173.9324446,-7.0,0.0
3,1714054175.2059247,1714054177.3103788,21.0,0.0
32,1714054178.5321712,1714054180.4329712,-21.0,-5.0
