stimulus,start_time,end_time,positionX,positionY
8,1713508213.0086255,1713508214.9313831,14.0,0.0
16,1713508216.3063931,1713508218.405839,0.0,-10.0
30,1713508219.8072958,1713508221.9101043,-14.0,10.0
27,1713508223.2819018,1713508225.382292,-14.0,-5.0
2,1713508226.781622,1713508228.8824017,21.0,-5.0
17,1713508230.1060085,1713508232.0063922,0.0,-5.0
10,1713508233.3074248,1713508235.4114459,14.0,10.0
12,1713508236.6075258,1713508238.5081017,7.0,-5.0
9,1713508239.5568116,1713508241.4572663,14.0,5.0
7,1713508242.507721,1713508244.4311776,14.0,-5.0
5,1713508245.4833364,1713508247.4308708,21.0,10.0
31,1713508248.5317273,1713508250.4309802,-21.0,-10.0
6,1713508251.531861,1713508253.43251,14.0,-10.0
19,1713508254.4313295,1713508256.4389412,0.0,5.0
21,1713508257.6323006,1713508259.5320206,-7.0,-10.0
22,1713508260.9062698,1713508262.9310586,-7.0,-5.0
29,1713508263.9811728,1713508265.9393854,-14.0,5.0
4,1713508267.4317005,1713508269.4312737,21.0,5.0
28,1713508270.5590086,1713508272.4626527,-14.0,0.0
15,1713508273.5595098,1713508275.4606905,7.0,10.0
35,1713508276.5366104,1713508278.4367573,-21.0,10.0
13,1713508279.5877864,1713508281.4881027,7.0,0.0
24,1713508282.7344942,1713508284.8344753,-7.0,5.0
14,1713508286.210895,1713508288.3116267,7.0,5.0
20,1713508289.360144,1713508291.4374776,0.0,10.0
18,1713508292.4343858,1713508294.435168,0.0,0.0
26,1713508295.531018,1713508297.4311378,-14.0,-10.0
11,1713508298.6835027,1713508300.7879634,7.0,-10.0
34,1713508301.9061117,1713508303.9310415,-21.0,5.0
33,1713508305.1567867,1713508307.0591083,-21.0,0.0
25,1713508308.5311446,1713508310.4308176,-7.0,10.0
1,1713508311.431576,1713508313.4308925,21.0,-10.0
23,1713508314.6580572,1713508316.5616438,-7.0,0.0
3,1713508317.7913494,1713508319.893734,21.0,0.0
32,1713508320.9589517,1713508322.9317286,-21.0,-5.0
