stimulus,start_time,end_time,positionX,positionY
8,1713859799.335459,1713859801.4316702,14.0,0.0
16,1713859802.6058195,1713859804.506309,0.0,-10.0
30,1713859805.9095373,1713859807.932654,-14.0,10.0
27,1713859809.1810179,1713859811.2868464,-14.0,-5.0
2,1713859812.4349566,1713859814.4314373,21.0,-5.0
17,1713859815.755955,1713859817.8605509,0.0,-5.0
10,1713859819.182178,1713859821.2858956,14.0,10.0
12,1713859822.7600462,1713859824.8753963,7.0,-5.0
9,1713859826.2875233,1713859828.3871658,14.0,5.0
7,1713859829.4354815,1713859831.434078,14.0,-5.0
5,1713859832.8065925,1713859834.909699,21.0,10.0
31,1713859836.334229,1713859838.4356089,-21.0,-10.0
6,1713859839.6416452,1713859841.541254,14.0,-10.0
19,1713859842.8341997,1713859844.9321184,0.0,5.0
21,1713859845.9600813,1713859847.9361484,-7.0,-10.0
22,1713859849.0609074,1713859850.963868,-7.0,-5.0
29,1713859852.4325483,1713859854.431176,-14.0,5.0
4,1713859855.6332536,1713859857.534775,21.0,5.0
28,1713859858.5838861,1713859860.4888449,-14.0,0.0
15,1713859861.7061043,1713859863.8158543,7.0,10.0
35,1713859864.9830568,1713859866.932846,-21.0,10.0
13,1713859868.1070497,1713859870.0233436,7.0,0.0
24,1713859871.431482,1713859873.440234,-7.0,5.0
14,1713859874.5814888,1713859876.4843097,7.0,5.0
20,1713859877.6826982,1713859879.7835612,0.0,10.0
18,1713859880.9848635,1713859882.9365256,0.0,0.0
26,1713859884.2064602,1713859886.3061962,-14.0,-10.0
11,1713859887.5320694,1713859889.4346101,7.0,-10.0
34,1713859890.6848342,1713859892.7848585,-21.0,5.0
33,1713859894.2581215,1713859896.357817,-21.0,0.0
25,1713859897.6609697,1713859899.5628278,-7.0,10.0
1,1713859900.8411684,1713859902.9309149,21.0,-10.0
23,1713859904.4380531,1713859906.4410086,-7.0,0.0
3,1713859907.7814429,1713859909.8809807,21.0,0.0
32,1713859911.1861484,1713859913.2900078,-21.0,-5.0
