timestamps,frame_nr,rvec[0],rvec[1],rvec[2],tvec[0],tvec[1],tvec[2]
1719494627.353729,493,nan,nan,nan,nan,nan,nan
1719494627.3768988,494,nan,nan,nan,nan,nan,nan
1719494627.3983116,495,nan,nan,nan,nan,nan,nan
1719494627.420926,496,nan,nan,nan,nan,nan,nan
1719494627.44251,497,nan,nan,nan,nan,nan,nan
1719494627.464714,498,nan,nan,nan,nan,nan,nan
1719494627.4868963,499,nan,nan,nan,nan,nan,nan
1719494627.5091448,500,nan,nan,nan,nan,nan,nan
1719494627.531337,501,nan,nan,nan,nan,nan,nan
1719494627.5526464,502,nan,nan,nan,nan,nan,nan
1719494627.5756242,503,nan,nan,nan,nan,nan,nan
1719494627.5979898,504,nan,nan,nan,nan,nan,nan
1719494627.6195986,505,nan,nan,nan,nan,nan,nan
1719494627.6432056,506,nan,nan,nan,nan,nan,nan
1719494627.6730304,507,nan,nan,nan,nan,nan,nan
1719494627.6962028,508,nan,nan,nan,nan,nan,nan
1719494627.7140253,509,nan,nan,nan,nan,nan,nan
1719494627.7372742,510,nan,nan,nan,nan,nan,nan
1719494627.7603672,511,nan,nan,nan,nan,nan,nan
1719494627.7885914,512,nan,nan,nan,nan,nan,nan
1719494627.809629,513,nan,nan,nan,nan,nan,nan
1719494627.8469043,514,nan,nan,nan,nan,nan,nan
1719494627.882926,515,nan,nan,nan,nan,nan,nan
1719494627.9051726,516,nan,nan,nan,nan,nan,nan
1719494627.9149895,517,nan,nan,nan,nan,nan,nan
1719494627.9269664,518,nan,nan,nan,nan,nan,nan
1719494627.9500911,519,nan,nan,nan,nan,nan,nan
1719494627.9722264,520,nan,nan,nan,nan,nan,nan
1719494627.9952836,521,nan,nan,nan,nan,nan,nan
1719494628.0176833,522,nan,nan,nan,nan,nan,nan
1719494628.0394015,523,nan,nan,nan,nan,nan,nan
1719494628.0671594,524,nan,nan,nan,nan,nan,nan
1719494628.0902727,525,nan,nan,nan,nan,nan,nan
1719494628.1124527,526,nan,nan,nan,nan,nan,nan
1719494628.1376905,527,nan,nan,nan,nan,nan,nan
1719494628.1592941,528,nan,nan,nan,nan,nan,nan
1719494628.183283,529,nan,nan,nan,nan,nan,nan
1719494628.2052839,530,nan,nan,nan,nan,nan,nan
1719494628.2278972,531,nan,nan,nan,nan,nan,nan
1719494628.2504091,532,nan,nan,nan,nan,nan,nan
1719494628.2727695,533,nan,nan,nan,nan,nan,nan
1719494628.294829,534,nan,nan,nan,nan,nan,nan
1719494628.3183222,535,nan,nan,nan,nan,nan,nan
1719494628.3400493,536,nan,nan,nan,nan,nan,nan
1719494628.3752775,537,nan,nan,nan,nan,nan,nan
1719494628.399092,538,nan,nan,nan,nan,nan,nan
1719494628.421488,539,nan,nan,nan,nan,nan,nan
1719494628.4315696,540,nan,nan,nan,nan,nan,nan
1719494628.4504163,541,nan,nan,nan,nan,nan,nan
1719494628.4727604,542,nan,nan,nan,nan,nan,nan
1719494628.4962049,543,nan,nan,nan,nan,nan,nan
1719494628.5181067,544,nan,nan,nan,nan,nan,nan
1719494628.5407388,545,nan,nan,nan,nan,nan,nan
1719494628.5734065,546,nan,nan,nan,nan,nan,nan
1719494628.5959783,547,nan,nan,nan,nan,nan,nan
1719494628.6117218,548,nan,nan,nan,nan,nan,nan
1719494628.6348948,549,nan,nan,nan,nan,nan,nan
1719494628.6577017,550,nan,nan,nan,nan,nan,nan
1719494628.6824758,551,nan,nan,nan,nan,nan,nan
1719494628.7034545,552,nan,nan,nan,nan,nan,nan
1719494628.7260244,553,nan,nan,nan,nan,nan,nan
1719494628.760782,554,nan,nan,nan,nan,nan,nan
1719494628.7927244,555,nan,nan,nan,nan,nan,nan
1719494628.8290622,556,nan,nan,nan,nan,nan,nan
1719494628.8403492,557,nan,nan,nan,nan,nan,nan
1719494628.855434,558,nan,nan,nan,nan,nan,nan
1719494628.8781354,559,nan,nan,nan,nan,nan,nan
1719494628.9082885,560,nan,nan,nan,nan,nan,nan
1719494628.9283545,561,nan,nan,nan,nan,nan,nan
1719494628.9463317,562,nan,nan,nan,nan,nan,nan
1719494628.9698846,563,nan,nan,nan,nan,nan,nan
1719494628.99096,564,nan,nan,nan,nan,nan,nan
1719494629.0137846,565,nan,nan,nan,nan,nan,nan
1719494629.0350285,566,nan,nan,nan,nan,nan,nan
1719494629.0625563,567,nan,nan,nan,nan,nan,nan
1719494629.0931072,568,nan,nan,nan,nan,nan,nan
1719494629.1252024,569,nan,nan,nan,nan,nan,nan
1719494629.1677525,570,nan,nan,nan,nan,nan,nan
1719494629.1850748,571,nan,nan,nan,nan,nan,nan
1719494629.2150369,572,nan,nan,nan,nan,nan,nan
1719494629.2286525,573,nan,nan,nan,nan,nan,nan
1719494629.2389498,574,nan,nan,nan,nan,nan,nan
1719494629.2513628,575,nan,nan,nan,nan,nan,nan
1719494629.2713194,576,nan,nan,nan,nan,nan,nan
1719494629.293455,577,nan,nan,nan,nan,nan,nan
1719494629.3153224,578,nan,nan,nan,nan,nan,nan
1719494629.3377705,579,nan,nan,nan,nan,nan,nan
1719494629.359496,580,nan,nan,nan,nan,nan,nan
1719494629.3848312,581,nan,nan,nan,nan,nan,nan
1719494629.4084368,582,nan,nan,nan,nan,nan,nan
1719494629.4293737,583,nan,nan,nan,nan,nan,nan
1719494629.4513195,584,nan,nan,nan,nan,nan,nan
1719494629.4758286,585,nan,nan,nan,nan,nan,nan
1719494629.5113435,586,nan,nan,nan,nan,nan,nan
1719494629.5354419,587,nan,nan,nan,nan,nan,nan
1719494629.5648847,588,nan,nan,nan,nan,nan,nan
1719494629.5930004,589,nan,nan,nan,nan,nan,nan
1719494629.638609,590,nan,nan,nan,nan,nan,nan
1719494629.6493542,591,nan,nan,nan,nan,nan,nan
1719494629.6614387,592,nan,nan,nan,nan,nan,nan
1719494629.684918,593,nan,nan,nan,nan,nan,nan
1719494629.709047,594,nan,nan,nan,nan,nan,nan
1719494629.7301524,595,nan,nan,nan,nan,nan,nan
1719494629.751553,596,nan,nan,nan,nan,nan,nan
1719494629.7748275,597,nan,nan,nan,nan,nan,nan
1719494629.7956107,598,nan,nan,nan,nan,nan,nan
1719494629.820505,599,nan,nan,nan,nan,nan,nan
1719494629.8425257,600,nan,nan,nan,nan,nan,nan
1719494629.8650308,601,nan,nan,nan,nan,nan,nan
1719494629.8869016,602,nan,nan,nan,nan,nan,nan
1719494629.909141,603,nan,nan,nan,nan,nan,nan
1719494629.9327793,604,nan,nan,nan,nan,nan,nan
1719494629.9557157,605,nan,nan,nan,nan,nan,nan
1719494629.9771316,606,nan,nan,nan,nan,nan,nan
1719494629.9996624,607,nan,nan,nan,nan,nan,nan
1719494630.0205173,608,nan,nan,nan,nan,nan,nan
1719494630.0427034,609,nan,nan,nan,nan,nan,nan
1719494630.0645401,610,nan,nan,nan,nan,nan,nan
1719494630.0865877,611,nan,nan,nan,nan,nan,nan
1719494630.1086767,612,nan,nan,nan,nan,nan,nan
1719494630.1299336,613,nan,nan,nan,nan,nan,nan
1719494630.1532047,614,nan,nan,nan,nan,nan,nan
1719494630.1762457,615,nan,nan,nan,nan,nan,nan
1719494630.1982615,616,nan,nan,nan,nan,nan,nan
1719494630.2197683,617,nan,nan,nan,nan,nan,nan
1719494630.2438872,618,nan,nan,nan,nan,nan,nan
1719494630.2714067,619,nan,nan,nan,nan,nan,nan
1719494630.2992818,620,nan,nan,nan,nan,nan,nan
1719494630.3231506,621,nan,nan,nan,nan,nan,nan
1719494630.3445935,622,nan,nan,nan,nan,nan,nan
1719494630.3677728,623,nan,nan,nan,nan,nan,nan
1719494630.3890698,624,nan,nan,nan,nan,nan,nan
1719494630.411267,625,nan,nan,nan,nan,nan,nan
1719494630.4334924,626,nan,nan,nan,nan,nan,nan
1719494630.4547591,627,nan,nan,nan,nan,nan,nan
1719494630.477473,628,nan,nan,nan,nan,nan,nan
1719494630.5012405,629,nan,nan,nan,nan,nan,nan
1719494630.5203338,630,nan,nan,nan,nan,nan,nan
1719494630.5426512,631,nan,nan,nan,nan,nan,nan
1719494630.5656505,632,nan,nan,nan,nan,nan,nan
1719494630.5881252,633,nan,nan,nan,nan,nan,nan
1719494630.61005,634,nan,nan,nan,nan,nan,nan
1719494630.6322987,635,nan,nan,nan,nan,nan,nan
1719494630.6536958,636,nan,nan,nan,nan,nan,nan
1719494630.6766417,637,nan,nan,nan,nan,nan,nan
1719494630.699027,638,nan,nan,nan,nan,nan,nan
1719494630.7210462,639,nan,nan,nan,nan,nan,nan
1719494630.743492,640,nan,nan,nan,nan,nan,nan
1719494630.7675214,641,nan,nan,nan,nan,nan,nan
1719494630.795651,642,nan,nan,nan,nan,nan,nan
1719494630.812286,643,nan,nan,nan,nan,nan,nan
1719494630.831939,644,nan,nan,nan,nan,nan,nan
1719494630.854271,645,nan,nan,nan,nan,nan,nan
1719494630.8772836,646,nan,nan,nan,nan,nan,nan
1719494630.898888,647,nan,nan,nan,nan,nan,nan
1719494630.9211502,648,nan,nan,nan,nan,nan,nan
1719494630.9433968,649,nan,nan,nan,nan,nan,nan
1719494630.9665346,650,nan,nan,nan,nan,nan,nan
1719494630.9890785,651,nan,nan,nan,nan,nan,nan
1719494631.0132127,652,nan,nan,nan,nan,nan,nan
1719494631.0351286,653,nan,nan,nan,nan,nan,nan
1719494631.0569854,654,nan,nan,nan,nan,nan,nan
1719494631.0789678,655,nan,nan,nan,nan,nan,nan
1719494631.1022158,656,nan,nan,nan,nan,nan,nan
1719494631.1242259,657,nan,nan,nan,nan,nan,nan
1719494631.1700099,658,nan,nan,nan,nan,nan,nan
