stimulus,start_time,end_time,positionX,positionY
8,1713509788.8398762,1713509790.9317985,14.0,0.0
16,1713509792.0629232,1713509793.9631057,0.0,-10.0
30,1713509795.0308557,1713509796.9315472,-14.0,10.0
27,1713509798.2088974,1713509800.3093224,-14.0,-5.0
2,1713509801.506143,1713509803.4312406,21.0,-5.0
17,1713509804.8397396,1713509806.9309783,0.0,-5.0
10,1713509808.436522,1713509810.4375095,14.0,10.0
12,1713509811.8561373,1713509813.9314494,7.0,-5.0
9,1713509815.1561718,1713509817.064876,14.0,5.0
7,1713509818.256112,1713509820.359727,14.0,-5.0
5,1713509821.7814217,1713509823.8818245,21.0,10.0
31,1713509825.1066654,1713509827.0062244,-21.0,-10.0
6,1713509828.2383134,1713509830.3391366,14.0,-10.0
19,1713509831.756841,1713509833.8581624,0.0,5.0
21,1713509835.1832967,1713509837.283429,-7.0,-10.0
22,1713509838.5584726,1713509840.4611864,-7.0,-5.0
29,1713509841.481065,1713509843.430847,-14.0,5.0
4,1713509844.5595071,1713509846.463853,21.0,5.0
28,1713509847.5808985,1713509849.480864,-14.0,0.0
15,1713509850.9127672,1713509852.936568,7.0,10.0
35,1713509854.2562017,1713509856.3583622,-21.0,10.0
13,1713509857.5059645,1713509859.4310925,7.0,0.0
24,1713509860.808178,1713509862.9092522,-7.0,5.0
14,1713509864.4328723,1713509866.4339874,7.0,5.0
20,1713509867.606689,1713509869.509655,0.0,10.0
18,1713509870.6350582,1713509872.537243,0.0,0.0
26,1713509873.831529,1713509875.931324,-14.0,-10.0
11,1713509877.163998,1713509879.0648007,7.0,-10.0
34,1713509880.285149,1713509882.3858528,-21.0,5.0
33,1713509883.7067852,1713509885.8068416,-21.0,0.0
25,1713509886.8588974,1713509888.9312832,-7.0,10.0
1,1713509890.1829426,1713509892.2844784,21.0,-10.0
23,1713509893.4311152,1713509895.43355,-7.0,0.0
3,1713509896.8843083,1713509898.9313025,21.0,0.0
32,1713509899.9817975,1713509901.9335296,-21.0,-5.0
