timestamps,frame_nr,rvec[0],rvec[1],rvec[2],tvec[0],tvec[1],tvec[2]
1713511133.3262122,1,nan,nan,nan,nan,nan,nan
1713511133.3654501,2,nan,nan,nan,nan,nan,nan
1713511133.4000216,3,nan,nan,nan,nan,nan,nan
1713511133.4349384,4,nan,nan,nan,nan,nan,nan
1713511133.4613757,5,nan,nan,nan,nan,nan,nan
1713511133.473851,6,nan,nan,nan,nan,nan,nan
1713511133.5021083,7,nan,nan,nan,nan,nan,nan
1713511133.5108533,8,nan,nan,nan,nan,nan,nan
1713511133.5352316,9,nan,nan,nan,nan,nan,nan
1713511133.5468533,10,nan,nan,nan,nan,nan,nan
1713511133.561026,11,nan,nan,nan,nan,nan,nan
1713511133.5835595,12,nan,nan,nan,nan,nan,nan
1713511133.6064491,13,nan,nan,nan,nan,nan,nan
1713511133.6276536,14,nan,nan,nan,nan,nan,nan
1713511133.6504986,15,nan,nan,nan,nan,nan,nan
1713511133.6731365,16,nan,nan,nan,nan,nan,nan
1713511133.6944752,17,nan,nan,nan,nan,nan,nan
1713511133.7159176,18,nan,nan,nan,nan,nan,nan
1713511133.7397723,19,nan,nan,nan,nan,nan,nan
1713511133.7626717,20,nan,nan,nan,nan,nan,nan
1713511133.7840488,21,nan,nan,nan,nan,nan,nan
1713511133.8090732,22,nan,nan,nan,nan,nan,nan
1713511133.8322852,23,nan,nan,nan,nan,nan,nan
1713511133.8621514,24,nan,nan,nan,nan,nan,nan
1713511133.8839567,25,nan,nan,nan,nan,nan,nan
1713511133.9142697,26,nan,nan,nan,nan,nan,nan
1713511133.9746027,27,nan,nan,nan,nan,nan,nan
1713511133.9988244,28,nan,nan,nan,nan,nan,nan
1713511134.0112596,29,nan,nan,nan,nan,nan,nan
1713511134.0344584,30,nan,nan,nan,nan,nan,nan
1713511134.0535862,31,nan,nan,nan,nan,nan,nan
1713511134.062386,32,nan,nan,nan,nan,nan,nan
1713511134.079099,33,nan,nan,nan,nan,nan,nan
1713511134.1008332,34,nan,nan,nan,nan,nan,nan
1713511134.123785,35,nan,nan,nan,nan,nan,nan
