stimulus,start_time,end_time,positionX,positionY
8,1713511449.3599787,1713511451.4309204,14.0,0.0
16,1713511452.4337463,1713511454.4321427,0.0,-10.0
30,1713511455.681354,1713511457.7814415,-14.0,10.0
27,1713511458.8571975,1713511460.9395316,-14.0,-5.0
2,1713511462.331632,1713511464.4339662,21.0,-5.0
17,1713511465.5816514,1713511467.481646,0.0,-5.0
10,1713511468.5064993,1713511470.4320436,14.0,10.0
12,1713511471.5067363,1713511473.4308493,7.0,-5.0
9,1713511474.437705,1713511476.4344103,14.0,5.0
7,1713511477.7604957,1713511479.8607585,14.0,-5.0
5,1713511480.985843,1713511482.9314766,21.0,10.0
31,1713511484.4318702,1713511486.4315023,-21.0,-10.0
6,1713511487.6087613,1713511489.5179412,14.0,-10.0
19,1713511490.9557927,1713511492.9328597,0.0,5.0
21,1713511494.2308807,1713511496.3317287,-7.0,-10.0
22,1713511497.6059673,1713511499.5071015,-7.0,-5.0
29,1713511500.837668,1713511502.9313521,-14.0,5.0
4,1713511504.2067134,1713511506.3059382,21.0,5.0
28,1713511507.6569529,1713511509.5575504,-14.0,0.0
15,1713511510.5569825,1713511512.4576051,7.0,10.0
35,1713511513.581597,1713511515.4811237,-21.0,10.0
13,1713511516.5817142,1713511518.4814944,7.0,0.0
24,1713511519.9558876,1713511521.9314837,-7.0,5.0
14,1713511523.1558585,1713511525.0571187,7.0,5.0
20,1713511526.4329324,1713511528.4410498,0.0,10.0
18,1713511529.634077,1713511531.5343952,0.0,0.0
26,1713511532.7316499,1713511534.8361988,-14.0,-10.0
11,1713511535.9863193,1713511537.9315195,7.0,-10.0
34,1713511539.3323748,1713511541.4308422,-21.0,5.0
33,1713511542.8310351,1713511544.9436288,-21.0,0.0
25,1713511546.1310441,1713511548.031554,-7.0,10.0
1,1713511549.430919,1713511551.43189,21.0,-10.0
23,1713511552.9310305,1713511554.9311159,-7.0,0.0
3,1713511556.0063453,1713511557.931328,21.0,0.0
32,1713511559.1850908,1713511561.2863276,-21.0,-5.0
