timestamps,frame_nr,rvec[0],rvec[1],rvec[2],tvec[0],tvec[1],tvec[2]
1719488021.414613,2327,nan,nan,nan,nan,nan,nan
1719488021.4366813,2328,nan,nan,nan,nan,nan,nan
1719488021.4584703,2329,nan,nan,nan,nan,nan,nan
1719488021.4803326,2330,nan,nan,nan,nan,nan,nan
1719488021.5021658,2331,nan,nan,nan,nan,nan,nan
1719488021.5246062,2332,nan,nan,nan,nan,nan,nan
1719488021.546797,2333,nan,nan,nan,nan,nan,nan
1719488021.5689569,2334,nan,nan,nan,nan,nan,nan
1719488021.590045,2335,nan,nan,nan,nan,nan,nan
1719488021.6123402,2336,nan,nan,nan,nan,nan,nan
1719488021.6349366,2337,nan,nan,nan,nan,nan,nan
1719488021.6561394,2338,nan,nan,nan,nan,nan,nan
1719488021.678704,2339,nan,nan,nan,nan,nan,nan
1719488021.7002668,2340,nan,nan,nan,nan,nan,nan
1719488021.724044,2341,nan,nan,nan,nan,nan,nan
1719488021.7443736,2342,nan,nan,nan,nan,nan,nan
1719488021.767249,2343,nan,nan,nan,nan,nan,nan
1719488021.7881982,2344,nan,nan,nan,nan,nan,nan
1719488021.813174,2345,nan,nan,nan,nan,nan,nan
1719488021.833595,2346,nan,nan,nan,nan,nan,nan
1719488021.8554165,2347,nan,nan,nan,nan,nan,nan
1719488021.8784697,2348,nan,nan,nan,nan,nan,nan
1719488021.9015234,2349,nan,nan,nan,nan,nan,nan
1719488021.9234414,2350,nan,nan,nan,nan,nan,nan
1719488021.9456666,2351,nan,nan,nan,nan,nan,nan
1719488021.9678123,2352,nan,nan,nan,nan,nan,nan
1719488021.9901505,2353,nan,nan,nan,nan,nan,nan
1719488022.0139613,2354,nan,nan,nan,nan,nan,nan
1719488022.0347826,2355,nan,nan,nan,nan,nan,nan
1719488022.0577147,2356,nan,nan,nan,nan,nan,nan
1719488022.079946,2357,nan,nan,nan,nan,nan,nan
1719488022.102987,2358,nan,nan,nan,nan,nan,nan
1719488022.1253445,2359,nan,nan,nan,nan,nan,nan
1719488022.1474156,2360,nan,nan,nan,nan,nan,nan
1719488022.1704154,2361,nan,nan,nan,nan,nan,nan
1719488022.1943069,2362,nan,nan,nan,nan,nan,nan
1719488022.220235,2363,nan,nan,nan,nan,nan,nan
1719488022.243834,2364,nan,nan,nan,nan,nan,nan
1719488022.2671938,2365,nan,nan,nan,nan,nan,nan
1719488022.2987213,2366,nan,nan,nan,nan,nan,nan
1719488022.321819,2367,nan,nan,nan,nan,nan,nan
1719488022.3420346,2368,nan,nan,nan,nan,nan,nan
1719488022.3560581,2369,nan,nan,nan,nan,nan,nan
1719488022.378216,2370,nan,nan,nan,nan,nan,nan
1719488022.4005346,2371,nan,nan,nan,nan,nan,nan
1719488022.422455,2372,nan,nan,nan,nan,nan,nan
1719488022.4454942,2373,nan,nan,nan,nan,nan,nan
1719488022.467011,2374,nan,nan,nan,nan,nan,nan
1719488022.489945,2375,nan,nan,nan,nan,nan,nan
1719488022.5128472,2376,nan,nan,nan,nan,nan,nan
1719488022.5343041,2377,nan,nan,nan,nan,nan,nan
1719488022.5576184,2378,nan,nan,nan,nan,nan,nan
1719488022.5796964,2379,nan,nan,nan,nan,nan,nan
1719488022.6029496,2380,nan,nan,nan,nan,nan,nan
1719488022.6330786,2381,nan,nan,nan,nan,nan,nan
1719488022.6461039,2382,nan,nan,nan,nan,nan,nan
1719488022.6689188,2383,nan,nan,nan,nan,nan,nan
1719488022.6921494,2384,nan,nan,nan,nan,nan,nan
1719488022.7144454,2385,nan,nan,nan,nan,nan,nan
1719488022.7374485,2386,nan,nan,nan,nan,nan,nan
1719488022.7587578,2387,nan,nan,nan,nan,nan,nan
1719488022.7821736,2388,nan,nan,nan,nan,nan,nan
1719488022.8070054,2389,nan,nan,nan,nan,nan,nan
1719488022.8336592,2390,nan,nan,nan,nan,nan,nan
1719488022.8768926,2391,nan,nan,nan,nan,nan,nan
1719488022.893329,2392,nan,nan,nan,nan,nan,nan
1719488022.9048052,2393,nan,nan,nan,nan,nan,nan
1719488022.9177947,2394,nan,nan,nan,nan,nan,nan
1719488022.939903,2395,nan,nan,nan,nan,nan,nan
1719488022.963356,2396,nan,nan,nan,nan,nan,nan
1719488022.9867606,2397,nan,nan,nan,nan,nan,nan
1719488023.0096455,2398,nan,nan,nan,nan,nan,nan
1719488023.0316463,2399,nan,nan,nan,nan,nan,nan
1719488023.0536728,2400,nan,nan,nan,nan,nan,nan
1719488023.0746849,2401,nan,nan,nan,nan,nan,nan
1719488023.0976553,2402,nan,nan,nan,nan,nan,nan
1719488023.1196365,2403,nan,nan,nan,nan,nan,nan
1719488023.142567,2404,nan,nan,nan,nan,nan,nan
1719488023.164568,2405,nan,nan,nan,nan,nan,nan
1719488023.1876187,2406,nan,nan,nan,nan,nan,nan
1719488023.2097342,2407,nan,nan,nan,nan,nan,nan
1719488023.232843,2408,nan,nan,nan,nan,nan,nan
1719488023.2543063,2409,nan,nan,nan,nan,nan,nan
1719488023.2792637,2410,nan,nan,nan,nan,nan,nan
1719488023.2996206,2411,nan,nan,nan,nan,nan,nan
1719488023.3224182,2412,nan,nan,nan,nan,nan,nan
1719488023.3442488,2413,nan,nan,nan,nan,nan,nan
1719488023.3671763,2414,nan,nan,nan,nan,nan,nan
1719488023.3891852,2415,nan,nan,nan,nan,nan,nan
1719488023.4111128,2416,nan,nan,nan,nan,nan,nan
1719488023.4330823,2417,nan,nan,nan,nan,nan,nan
1719488023.4549727,2418,nan,nan,nan,nan,nan,nan
1719488023.4778593,2419,nan,nan,nan,nan,nan,nan
1719488023.4997923,2420,nan,nan,nan,nan,nan,nan
1719488023.521664,2421,nan,nan,nan,nan,nan,nan
1719488023.5446618,2422,nan,nan,nan,nan,nan,nan
1719488023.5677135,2423,nan,nan,nan,nan,nan,nan
1719488023.5917385,2424,nan,nan,nan,nan,nan,nan
1719488023.6143577,2425,nan,nan,nan,nan,nan,nan
1719488023.636689,2426,nan,nan,nan,nan,nan,nan
1719488023.6601129,2427,nan,nan,nan,nan,nan,nan
1719488023.6887608,2428,nan,nan,nan,nan,nan,nan
1719488023.7043889,2429,nan,nan,nan,nan,nan,nan
1719488023.7275891,2430,nan,nan,nan,nan,nan,nan
1719488023.7494383,2431,nan,nan,nan,nan,nan,nan
1719488023.7729237,2432,nan,nan,nan,nan,nan,nan
1719488023.7946942,2433,nan,nan,nan,nan,nan,nan
1719488023.8161838,2434,nan,nan,nan,nan,nan,nan
1719488023.8370745,2435,nan,nan,nan,nan,nan,nan
1719488023.8601048,2436,nan,nan,nan,nan,nan,nan
1719488023.8830085,2437,nan,nan,nan,nan,nan,nan
1719488023.9049072,2438,nan,nan,nan,nan,nan,nan
1719488023.9261203,2439,nan,nan,nan,nan,nan,nan
1719488023.9491909,2440,nan,nan,nan,nan,nan,nan
1719488023.9712417,2441,nan,nan,nan,nan,nan,nan
1719488023.9938424,2442,nan,nan,nan,nan,nan,nan
1719488024.0168982,2443,nan,nan,nan,nan,nan,nan
1719488024.0395818,2444,nan,nan,nan,nan,nan,nan
1719488024.063724,2445,nan,nan,nan,nan,nan,nan
1719488024.0862525,2446,nan,nan,nan,nan,nan,nan
1719488024.1090367,2447,nan,nan,nan,nan,nan,nan
1719488024.1310194,2448,nan,nan,nan,nan,nan,nan
1719488024.1529915,2449,nan,nan,nan,nan,nan,nan
1719488024.1759841,2450,nan,nan,nan,nan,nan,nan
1719488024.1979394,2451,nan,nan,nan,nan,nan,nan
1719488024.2198536,2452,nan,nan,nan,nan,nan,nan
1719488024.2408102,2453,nan,nan,nan,nan,nan,nan
1719488024.2637784,2454,nan,nan,nan,nan,nan,nan
1719488024.2846131,2455,nan,nan,nan,nan,nan,nan
1719488024.307485,2456,nan,nan,nan,nan,nan,nan
1719488024.3283405,2457,nan,nan,nan,nan,nan,nan
1719488024.3501716,2458,nan,nan,nan,nan,nan,nan
1719488024.373005,2459,nan,nan,nan,nan,nan,nan
1719488024.3958187,2460,nan,nan,nan,nan,nan,nan
1719488024.4187088,2461,nan,nan,nan,nan,nan,nan
1719488024.4419758,2462,nan,nan,nan,nan,nan,nan
1719488024.4650757,2463,nan,nan,nan,nan,nan,nan
1719488024.4906306,2464,nan,nan,nan,nan,nan,nan
1719488024.5131378,2465,nan,nan,nan,nan,nan,nan
1719488024.5499113,2466,nan,nan,nan,nan,nan,nan
1719488024.573595,2467,nan,nan,nan,nan,nan,nan
1719488024.5953712,2468,nan,nan,nan,nan,nan,nan
1719488024.6230943,2469,nan,nan,nan,nan,nan,nan
1719488024.6469557,2470,nan,nan,nan,nan,nan,nan
1719488024.657182,2471,nan,nan,nan,nan,nan,nan
1719488024.6740043,2472,nan,nan,nan,nan,nan,nan
1719488024.6958737,2473,nan,nan,nan,nan,nan,nan
1719488024.7178357,2474,nan,nan,nan,nan,nan,nan
1719488024.740778,2475,nan,nan,nan,nan,nan,nan
1719488024.762791,2476,nan,nan,nan,nan,nan,nan
1719488024.7858295,2477,nan,nan,nan,nan,nan,nan
1719488024.8077352,2478,nan,nan,nan,nan,nan,nan
1719488024.8305514,2479,nan,nan,nan,nan,nan,nan
1719488024.85148,2480,nan,nan,nan,nan,nan,nan
1719488024.8732924,2481,nan,nan,nan,nan,nan,nan
1719488024.8954036,2482,nan,nan,nan,nan,nan,nan
1719488024.9172726,2483,nan,nan,nan,nan,nan,nan
1719488024.9391563,2484,nan,nan,nan,nan,nan,nan
1719488024.9620314,2485,nan,nan,nan,nan,nan,nan
1719488024.9850447,2486,nan,nan,nan,nan,nan,nan
1719488025.0069628,2487,nan,nan,nan,nan,nan,nan
1719488025.0288255,2488,nan,nan,nan,nan,nan,nan
1719488025.0506768,2489,nan,nan,nan,nan,nan,nan
1719488025.0725684,2490,nan,nan,nan,nan,nan,nan
1719488025.095487,2491,nan,nan,nan,nan,nan,nan
1719488025.117442,2492,nan,nan,nan,nan,nan,nan
1719488025.1394515,2493,nan,nan,nan,nan,nan,nan
1719488025.1624014,2494,nan,nan,nan,nan,nan,nan
1719488025.1834385,2495,nan,nan,nan,nan,nan,nan
1719488025.2053816,2496,nan,nan,nan,nan,nan,nan
1719488025.2283525,2497,nan,nan,nan,nan,nan,nan
1719488025.251297,2498,nan,nan,nan,nan,nan,nan
1719488025.2733395,2499,nan,nan,nan,nan,nan,nan
1719488025.2953289,2500,nan,nan,nan,nan,nan,nan
1719488025.3183851,2501,nan,nan,nan,nan,nan,nan
1719488025.3394635,2502,nan,nan,nan,nan,nan,nan
1719488025.3614533,2503,nan,nan,nan,nan,nan,nan
1719488025.3834538,2504,nan,nan,nan,nan,nan,nan
1719488025.4054377,2505,nan,nan,nan,nan,nan,nan
1719488025.4275565,2506,nan,nan,nan,nan,nan,nan
1719488025.450322,2507,nan,nan,nan,nan,nan,nan
1719488025.4742994,2508,nan,nan,nan,nan,nan,nan
1719488025.4960525,2509,nan,nan,nan,nan,nan,nan
1719488025.518071,2510,nan,nan,nan,nan,nan,nan
1719488025.5409076,2511,nan,nan,nan,nan,nan,nan
1719488025.5635042,2512,nan,nan,nan,nan,nan,nan
1719488025.5855803,2513,nan,nan,nan,nan,nan,nan
1719488025.6087615,2514,nan,nan,nan,nan,nan,nan
1719488025.6310024,2515,nan,nan,nan,nan,nan,nan
1719488025.6531377,2516,nan,nan,nan,nan,nan,nan
1719488025.6752758,2517,nan,nan,nan,nan,nan,nan
1719488025.6976666,2518,nan,nan,nan,nan,nan,nan
1719488025.7264318,2519,nan,nan,nan,nan,nan,nan
1719488025.7768939,2520,nan,nan,nan,nan,nan,nan
1719488025.8127737,2521,nan,nan,nan,nan,nan,nan
1719488025.8224976,2522,nan,nan,nan,nan,nan,nan
1719488025.835483,2523,nan,nan,nan,nan,nan,nan
1719488025.8582976,2524,nan,nan,nan,nan,nan,nan
1719488025.8792973,2525,nan,nan,nan,nan,nan,nan
1719488025.9013677,2526,nan,nan,nan,nan,nan,nan
1719488025.9234874,2527,nan,nan,nan,nan,nan,nan
1719488025.9455671,2528,nan,nan,nan,nan,nan,nan
1719488025.9675505,2529,nan,nan,nan,nan,nan,nan
1719488025.9886086,2530,nan,nan,nan,nan,nan,nan
1719488026.0107195,2531,nan,nan,nan,nan,nan,nan
1719488026.0317473,2532,nan,nan,nan,nan,nan,nan
1719488026.0547128,2533,nan,nan,nan,nan,nan,nan
1719488026.07767,2534,nan,nan,nan,nan,nan,nan
1719488026.1009073,2535,nan,nan,nan,nan,nan,nan
1719488026.1383471,2536,nan,nan,nan,nan,nan,nan
1719488026.1632864,2537,nan,nan,nan,nan,nan,nan
1719488026.187382,2538,nan,nan,nan,nan,nan,nan
1719488026.2104802,2539,nan,nan,nan,nan,nan,nan
1719488026.235286,2540,nan,nan,nan,nan,nan,nan
1719488026.2475655,2541,nan,nan,nan,nan,nan,nan
1719488026.2607348,2542,nan,nan,nan,nan,nan,nan
1719488026.2831988,2543,nan,nan,nan,nan,nan,nan
