timestamps,frame_nr,rvec[0],rvec[1],rvec[2],tvec[0],tvec[1],tvec[2]
1713860383.8886561,5406,nan,nan,nan,nan,nan,nan
1713860383.9107416,5407,nan,nan,nan,nan,nan,nan
1713860383.93308,5408,nan,nan,nan,nan,nan,nan
1713860383.9593158,5409,nan,nan,nan,nan,nan,nan
1713860383.9849694,5410,nan,nan,nan,nan,nan,nan
1713860384.009772,5411,nan,nan,nan,nan,nan,nan
1713860384.0291884,5412,nan,nan,nan,nan,nan,nan
1713860384.0524435,5413,nan,nan,nan,nan,nan,nan
1713860384.075926,5414,nan,nan,nan,nan,nan,nan
1713860384.1018934,5415,nan,nan,nan,nan,nan,nan
1713860384.1244156,5416,nan,nan,nan,nan,nan,nan
1713860384.1476314,5417,nan,nan,nan,nan,nan,nan
1713860384.169946,5418,nan,nan,nan,nan,nan,nan
1713860384.1926646,5419,nan,nan,nan,nan,nan,nan
1713860384.2157476,5420,nan,nan,nan,nan,nan,nan
1713860384.237536,5421,nan,nan,nan,nan,nan,nan
1713860384.2610383,5422,nan,nan,nan,nan,nan,nan
1713860384.285029,5423,nan,nan,nan,nan,nan,nan
1713860384.3071306,5424,nan,nan,nan,nan,nan,nan
1713860384.3249083,5425,nan,nan,nan,nan,nan,nan
1713860384.346933,5426,nan,nan,nan,nan,nan,nan
1713860384.3697631,5427,nan,nan,nan,nan,nan,nan
1713860384.3907704,5428,nan,nan,nan,nan,nan,nan
1713860384.4139307,5429,nan,nan,nan,nan,nan,nan
1713860384.4361763,5430,nan,nan,nan,nan,nan,nan
1713860384.4583077,5431,nan,nan,nan,nan,nan,nan
1713860384.4804447,5432,nan,nan,nan,nan,nan,nan
1713860384.5028486,5433,nan,nan,nan,nan,nan,nan
1713860384.5259094,5434,nan,nan,nan,nan,nan,nan
1713860384.5476227,5435,nan,nan,nan,nan,nan,nan
1713860384.5695155,5436,nan,nan,nan,nan,nan,nan
1713860384.591774,5437,nan,nan,nan,nan,nan,nan
1713860384.6140227,5438,nan,nan,nan,nan,nan,nan
1713860384.6364975,5439,nan,nan,nan,nan,nan,nan
1713860384.6598442,5440,nan,nan,nan,nan,nan,nan
1713860384.6828148,5441,nan,nan,nan,nan,nan,nan
1713860384.706853,5442,nan,nan,nan,nan,nan,nan
1713860384.7293553,5443,nan,nan,nan,nan,nan,nan
1713860384.7535465,5444,nan,nan,nan,nan,nan,nan
1713860384.780269,5445,nan,nan,nan,nan,nan,nan
1713860384.8148363,5446,nan,nan,nan,nan,nan,nan
1713860384.8514843,5447,nan,nan,nan,nan,nan,nan
1713860384.8624678,5448,nan,nan,nan,nan,nan,nan
1713860384.872198,5449,nan,nan,nan,nan,nan,nan
1713860384.8856626,5450,nan,nan,nan,nan,nan,nan
1713860384.9073842,5451,nan,nan,nan,nan,nan,nan
1713860384.9304583,5452,nan,nan,nan,nan,nan,nan
1713860384.9516292,5453,nan,nan,nan,nan,nan,nan
1713860384.9750485,5454,nan,nan,nan,nan,nan,nan
1713860384.9991388,5455,nan,nan,nan,nan,nan,nan
1713860385.0186436,5456,nan,nan,nan,nan,nan,nan
1713860385.0395231,5457,nan,nan,nan,nan,nan,nan
1713860385.0626016,5458,nan,nan,nan,nan,nan,nan
1713860385.0854886,5459,nan,nan,nan,nan,nan,nan
1713860385.1081355,5460,nan,nan,nan,nan,nan,nan
1713860385.1288126,5461,nan,nan,nan,nan,nan,nan
1713860385.150708,5462,nan,nan,nan,nan,nan,nan
1713860385.1743157,5463,nan,nan,nan,nan,nan,nan
1713860385.1968696,5464,nan,nan,nan,nan,nan,nan
1713860385.2188723,5465,nan,nan,nan,nan,nan,nan
1713860385.240958,5466,nan,nan,nan,nan,nan,nan
1713860385.2627938,5467,nan,nan,nan,nan,nan,nan
1713860385.2847986,5468,nan,nan,nan,nan,nan,nan
1713860385.308322,5469,nan,nan,nan,nan,nan,nan
1713860385.3293338,5470,nan,nan,nan,nan,nan,nan
1713860385.351439,5471,nan,nan,nan,nan,nan,nan
1713860385.3746266,5472,nan,nan,nan,nan,nan,nan
1713860385.3969665,5473,nan,nan,nan,nan,nan,nan
1713860385.4182198,5474,nan,nan,nan,nan,nan,nan
1713860385.4401453,5475,nan,nan,nan,nan,nan,nan
1713860385.462177,5476,nan,nan,nan,nan,nan,nan
1713860385.48583,5477,nan,nan,nan,nan,nan,nan
1713860385.508058,5478,nan,nan,nan,nan,nan,nan
1713860385.5295649,5479,nan,nan,nan,nan,nan,nan
1713860385.550544,5480,nan,nan,nan,nan,nan,nan
1713860385.5736277,5481,nan,nan,nan,nan,nan,nan
1713860385.596616,5482,nan,nan,nan,nan,nan,nan
1713860385.617817,5483,nan,nan,nan,nan,nan,nan
1713860385.6408978,5484,nan,nan,nan,nan,nan,nan
1713860385.6630754,5485,nan,nan,nan,nan,nan,nan
1713860385.6854508,5486,nan,nan,nan,nan,nan,nan
1713860385.7064633,5487,nan,nan,nan,nan,nan,nan
1713860385.7298994,5488,nan,nan,nan,nan,nan,nan
1713860385.7518437,5489,nan,nan,nan,nan,nan,nan
