stimulus,start_time,end_time,positionX,positionY
8,1713860385.9329758,1713860387.9308648,14.0,0.0
16,1713860388.985402,1713860390.9349113,0.0,-10.0
30,1713860391.9835467,1713860393.9330106,-14.0,10.0
27,1713860395.132278,1713860397.0381684,-14.0,-5.0
2,1713860398.3561313,1713860400.4310884,21.0,-5.0
17,1713860401.7571704,1713860403.8602295,0.0,-5.0
10,1713860405.2818723,1713860407.3859725,14.0,10.0
12,1713860408.6319788,1713860410.5338104,7.0,-5.0
9,1713860411.935224,1713860413.9313068,14.0,5.0
7,1713860415.4310834,1713860417.4325259,14.0,-5.0
5,1713860418.9085102,1713860420.931151,21.0,10.0
31,1713860422.0317154,1713860423.938837,-21.0,-10.0
6,1713860425.0317533,1713860426.932555,14.0,-10.0
19,1713860428.182793,1713860430.2830422,0.0,5.0
21,1713860431.3826249,1713860433.4348485,-7.0,-10.0
22,1713860434.9562824,1713860436.931399,-7.0,-5.0
29,1713860438.2317476,1713860440.3320718,-14.0,5.0
4,1713860441.5571692,1713860443.4614587,21.0,5.0
28,1713860444.507033,1713860446.4307983,-14.0,0.0
15,1713860447.4391668,1713860449.4360461,7.0,10.0
35,1713860450.5565958,1713860452.4624796,-21.0,10.0
13,1713860453.5811074,1713860455.4857,7.0,0.0
24,1713860456.7820776,1713860458.884514,-7.0,5.0
14,1713860460.3388011,1713860462.4346256,7.0,5.0
20,1713860463.8066983,1713860465.905906,0.0,10.0
18,1713860467.0563796,1713860468.9625125,0.0,0.0
26,1713860470.2819345,1713860472.3819063,-14.0,-10.0
11,1713860473.4328866,1713860475.4358144,7.0,-10.0
34,1713860476.8839288,1713860478.9347687,-21.0,5.0
33,1713860480.3063195,1713860482.4070616,-21.0,0.0
25,1713860483.7315378,1713860485.8311877,-7.0,10.0
1,1713860487.1818378,1713860489.282683,21.0,-10.0
23,1713860490.431495,1713860492.4314375,-7.0,0.0
3,1713860493.6340263,1713860495.5339122,21.0,0.0
32,1713860496.881402,1713860498.9317915,-21.0,-5.0
