stimulus,start_time,end_time,positionX,positionY
8,1713860110.9316905,1713860112.934292,14.0,0.0
16,1713860114.2311575,1713860116.3312309,0.0,-10.0
30,1713860117.730891,1713860119.8348262,-14.0,10.0
27,1713860121.038983,1713860122.9455764,-14.0,-5.0
2,1713860124.006347,1713860125.9371312,21.0,-5.0
17,1713860127.157542,1713860129.057371,0.0,-5.0
10,1713860130.2324033,1713860132.3355346,14.0,10.0
12,1713860133.5848508,1713860135.491168,7.0,-5.0
9,1713860136.9344015,1713860138.9317918,14.0,5.0
7,1713860140.0578327,1713860141.9584985,14.0,-5.0
5,1713860143.338641,1713860145.4311852,21.0,10.0
31,1713860146.8313532,1713860148.9365358,-21.0,-10.0
6,1713860149.9582882,1713860151.9383216,14.0,-10.0
19,1713860153.2433894,1713860155.370543,0.0,5.0
21,1713860156.789612,1713860158.889775,-7.0,-10.0
22,1713860159.9817019,1713860161.9315946,-7.0,-5.0
29,1713860163.1809728,1713860165.281006,-14.0,5.0
4,1713860166.731479,1713860168.8343909,21.0,5.0
28,1713860170.258861,1713860172.3689816,-14.0,0.0
15,1713860173.4319472,1713860175.43183,7.0,10.0
35,1713860176.7860198,1713860178.886095,-21.0,10.0
13,1713860180.298387,1713860182.4031768,7.0,0.0
24,1713860183.8642035,1713860185.9352448,-7.0,5.0
14,1713860187.1616082,1713860189.066313,7.0,5.0
20,1713860190.282724,1713860192.4056733,0.0,10.0
18,1713860193.6558318,1713860195.5560362,0.0,0.0
26,1713860197.0060854,1713860198.9314406,-14.0,-10.0
11,1713860200.259357,1713860202.3630087,7.0,-10.0
34,1713860203.534322,1713860205.4347765,-21.0,5.0
33,1713860206.9093812,1713860208.9310436,-21.0,0.0
25,1713860210.2909443,1713860212.3950472,-7.0,10.0
1,1713860213.4327307,1713860215.439825,21.0,-10.0
23,1713860216.6062956,1713860218.5074322,-7.0,0.0
3,1713860219.656288,1713860221.5564263,21.0,0.0
32,1713860222.6317194,1713860224.5315597,-21.0,-5.0
