stimulus,start_time,end_time,positionX,positionY
8,1714053856.4310977,1714053858.4434183,14.0,0.0
16,1714053859.8815873,1714053861.9346423,0.0,-10.0
30,1714053863.3378723,1714053865.431612,-14.0,10.0
27,1714053866.6843894,1714053868.783954,-14.0,-5.0
2,1714053870.1065402,1714053872.00653,21.0,-5.0
17,1714053873.2036726,1714053875.3062413,0.0,-5.0
10,1714053876.556427,1714053878.4587286,14.0,10.0
12,1714053879.5849981,1714053881.4854515,7.0,-5.0
9,1714053882.7319632,1714053884.841737,14.0,5.0
7,1714053885.9067051,1714053887.934232,14.0,-5.0
5,1714053889.2094426,1714053891.3120267,21.0,10.0
31,1714053892.4320369,1714053894.4312248,-21.0,-10.0
6,1714053895.6353388,1714053897.5350902,14.0,-10.0
19,1714053898.7316267,1714053900.8316119,0.0,5.0
21,1714053902.30674,1714053904.4080157,-7.0,-10.0
22,1714053905.8309872,1714053907.9334304,-7.0,-5.0
29,1714053909.1670408,1714053911.0676398,-14.0,5.0
4,1714053912.1817725,1714053914.2830892,21.0,5.0
28,1714053915.3567805,1714053917.4319692,-14.0,0.0
15,1714053918.506126,1714053920.4340076,7.0,10.0
35,1714053921.934386,1714053923.9311564,-21.0,10.0
13,1714053925.2416263,1714053927.3411272,7.0,0.0
24,1714053928.561701,1714053930.4612906,-7.0,5.0
14,1714053931.5810785,1714053933.482275,7.0,5.0
20,1714053934.581119,1714053936.4858644,0.0,10.0
18,1714053937.6590745,1714053939.56105,0.0,0.0
26,1714053940.633434,1714053942.534967,-14.0,-10.0
11,1714053943.7809157,1714053945.8816705,7.0,-10.0
34,1714053947.4330635,1714053949.4330568,-21.0,5.0
33,1714053950.738853,1714053952.8415227,-21.0,0.0
25,1714053953.8565054,1714053955.9341724,-7.0,10.0
1,1714053957.1310837,1714053959.03409,21.0,-10.0
23,1714053960.0573676,1714053961.9568818,-7.0,0.0
3,1714053963.1587481,1714053965.059081,21.0,0.0
32,1714053966.0819013,1714053967.9862947,-21.0,-5.0
