timestamps,frame_nr,rvec[0],rvec[1],rvec[2],tvec[0],tvec[1],tvec[2]
1719835946.7945833,4770,nan,nan,nan,nan,nan,nan
1719835946.816452,4771,nan,nan,nan,nan,nan,nan
1719835946.839299,4772,nan,nan,nan,nan,nan,nan
1719835946.8602462,4773,nan,nan,nan,nan,nan,nan
1719835946.8831387,4774,nan,nan,nan,nan,nan,nan
1719835946.9060884,4775,nan,nan,nan,nan,nan,nan
1719835946.9286788,4776,nan,nan,nan,nan,nan,nan
1719835946.9504473,4777,nan,nan,nan,nan,nan,nan
1719835946.9719958,4778,nan,nan,nan,nan,nan,nan
1719835946.9938886,4779,nan,nan,nan,nan,nan,nan
1719835947.0157082,4780,nan,nan,nan,nan,nan,nan
1719835947.0375218,4781,nan,nan,nan,nan,nan,nan
1719835947.0604887,4782,nan,nan,nan,nan,nan,nan
1719835947.0813508,4783,nan,nan,nan,nan,nan,nan
1719835947.1041155,4784,nan,nan,nan,nan,nan,nan
1719835947.1249952,4785,nan,nan,nan,nan,nan,nan
1719835947.1495788,4786,nan,nan,nan,nan,nan,nan
1719835947.1731803,4787,nan,nan,nan,nan,nan,nan
1719835947.1928148,4788,nan,nan,nan,nan,nan,nan
1719835947.2154155,4789,nan,nan,nan,nan,nan,nan
1719835947.2373164,4790,nan,nan,nan,nan,nan,nan
1719835947.2591672,4791,nan,nan,nan,nan,nan,nan
1719835947.2820597,4792,nan,nan,nan,nan,nan,nan
1719835947.305071,4793,nan,nan,nan,nan,nan,nan
1719835947.3341417,4794,nan,nan,nan,nan,nan,nan
1719835947.3677006,4795,nan,nan,nan,nan,nan,nan
1719835947.3876135,4796,nan,nan,nan,nan,nan,nan
1719835947.4101062,4797,nan,nan,nan,nan,nan,nan
1719835947.4315581,4798,nan,nan,nan,nan,nan,nan
1719835947.4725852,4799,nan,nan,nan,nan,nan,nan
1719835947.5141952,4800,nan,nan,nan,nan,nan,nan
1719835947.5412364,4801,nan,nan,nan,nan,nan,nan
1719835947.562807,4802,nan,nan,nan,nan,nan,nan
1719835947.589458,4803,nan,nan,nan,nan,nan,nan
1719835947.6118712,4804,nan,nan,nan,nan,nan,nan
1719835947.6279976,4805,nan,nan,nan,nan,nan,nan
1719835947.6437433,4806,nan,nan,nan,nan,nan,nan
1719835947.6537318,4807,nan,nan,nan,nan,nan,nan
1719835947.6733136,4808,nan,nan,nan,nan,nan,nan
1719835947.6945074,4809,nan,nan,nan,nan,nan,nan
1719835947.716813,4810,nan,nan,nan,nan,nan,nan
